concept,label,node,value_type,repeatable,obligation,visible_on_dataspace,dataspace_field,dataspace_input_type,controlled_vocabulary,direction,definition,notes,croissant_property,croissant_match,dcat_property,dcat_match,dublin_core_property,dublin_core_match
identifier,Identifier,dataset,literal,no,mandatory,yes,id,automated,,export_only,"A unique identifier for the dataset (platform ID, DOI, catalog UUID).","Croissant uses @id for this. On import the incoming identifier is kept in source_identifier, never written over the platform's own ID.",identifier,partial,dcterms:identifier,exact,dcterms:identifier,exact
source_identifier,Source identifier,dataset,literal,no,optional,no,,,,import_only,The identifier this dataset carried on the platform it was imported from.,Not in the source workbook. Added because round-tripping a federated record is impossible without somewhere to keep its origin ID.,,unbound,,unbound,,unbound
slug,Slug,dataset,literal,no,optional,yes,slug,automated,,export_only,URL-safe short name for the dataset on the platform.,No standard equivalent; it is the path component of landing_page.,,unbound,,unbound,,unbound
title,Title,dataset,langstring,no,mandatory,yes,title,free_text,,both,A name given to the dataset.,,name,exact,dcterms:title,exact,dcterms:title,exact
alternative_title,Alternative title,dataset,langstring,yes,optional,no,,,,import_only,An alternative name for the dataset.,,alternateName,exact,dcterms:alternative,exact,dcterms:alternative,exact
description,Description,dataset,langstring,no,mandatory,yes,description,free_text,,both,A free-text account of the dataset.,,description,exact,dcterms:description,exact,dcterms:description,exact
abstract,Abstract,dataset,langstring,no,optional,no,,,,import_only,"A summary of the dataset, shorter than the description.",,,gap,dcterms:abstract,exact,dcterms:abstract,exact
keyword,Keywords,dataset,literal,yes,recommended,yes,tags,semi_controlled,,both,"Free-text tags describing the dataset, used for search.",,keywords,partial,dcat:keyword,partial,dcterms:subject,partial
theme,Theme / Sector,dataset,concept,yes,recommended,yes,sectors,controlled,sector,both,"The category the dataset belongs to, from a controlled scheme.","Partial match. CDL sectors are the platform's own scheme; export maps them onto EU data themes, which collapses several sectors onto one theme.",,gap,dcat:theme,partial,dcterms:subject,partial
dataset_type,Dataset type,dataset,concept,no,recommended,no,datasetType,controlled,,both,The nature or genre of the dataset.,The platform's set of types is undefined in the source workbook.,,gap,dcterms:type,partial,dcterms:type,exact
language,Language,dataset,concept,yes,recommended,no,,,,import_only,"Language of the dataset, as an ISO 639 code or URI.",Requires normalisation to ISO codes/URIs on import.,inLanguage,exact,dcterms:language,exact,dcterms:language,exact
